,נפגעים - הרוגים,נפגעים - קשה,נפגעים - קל,תאונות - כללי - קטלניות,תאונות - כללי - קשות,תאונות - כללי - קלות,תאונות - הולכי רגל - נפגעים - הרוגים,תאונות - הולכי רגל - נפגעים - קשה,תאונות - הולכי רגל - נפגעים - קל,תאונות - הולכי רגל - תאונות - קטלניות,תאונות - הולכי רגל - תאונות - קשות,תאונות - הולכי רגל - תאונות - קלות,תאונות - דו גלגלי - נפגעים - הרוגים,תאונות - דו גלגלי - נפגעים - קשה,תאונות - דו גלגלי - נפגעים - קל,תאונות - דו גלגלי - תאונות - קטלניות,תאונות - דו גלגלי - תאונות - קשות,תאונות - דו גלגלי - תאונות - קלות,תאונות - משאית - נפגעים - קשה,תאונות - משאית - נפגעים - קל,תאונות - משאית - תאונות - קשות,תאונות - משאית - נפגעים - הרוגים,תאונות - משאית - תאונות - קטלניות
508,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,0,5,33,0,5,17,0,0,1,0,0,1,0,3,2,0,3,1,1,7,1,0,0
551,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,0,1,11,0,1,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
555,0,3,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
562,0,2,3,0,2,3,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0
581,0,4,16,0,3,7,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0
611,0,1,15,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
667,0,1,5,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0
672,0,3,33,0,3,10,0,2,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0
675,0,1,12,0,1,5,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0
717,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,0,1,19,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
767,0,1,4,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
768,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,0,1,8,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
781,0,5,91,0,4,30,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0
804,0,1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,0,1,17,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
864,0,4,20,0,3,7,0,0,0,0,0,0,0,1,1,0,1,0,1,4,1,0,0
886,0,5,30,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
918,0,2,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,0,1,8,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
977,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2211,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2333,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2544,0,1,24,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3412,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3755,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3922,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4123,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
4613,0,1,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4775,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5066,0,1,22,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5613,0,1,6,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0
5614,0,2,4,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5711,0,1,5,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5714,0,1,7,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5803,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
